Product Name,Quantity,Sell Price,Date Sold,Product Category,Unnamed: 5,Unnamed: 6,Unnamed: 7
BL Cream,4.0,140.0,27/07/2020,CREAM AND OINTMENTS,,,
Losartan 50mg,10.0,40.0,27/07/2020,ALL HYPERTENSION,,,
Cefalexin 500mg,8.0,24.0,27/07/2020,ANTIBIOTICS,,,
Alcohol 60mL,4.0,80.0,27/07/2020,ALL MEDICAL SUPPLIES,,,
Diatabs 2mg,3.0,30.0,27/07/2020,GASTRO DRUGS,,,
Water Bottle 350mL (small),1.0,10.0,27/07/2020,DRINKS,,,
Aceite De Manzanilla 15mL,2.0,20.0,27/07/2020,GALENICALS,,,
Salonpas Patch,2.0,20.0,27/07/2020,PAIN RELIEVERS,,,
Amoxicillin 500mg,10.0,50.0,27/07/2020,ANTIBIOTICS,,,
Isoxsuprine 10mg,5.0,75.0,27/07/2020,OB PRODUCTS,,,
Face Mask,1.0,5.0,27/07/2020,ALL MEDICAL SUPPLIES,,,
Johnson's Baby Powder 25g,3.0,75.0,27/07/2020,BABY PRODUCTS,,,
Revicon Forte,5.0,35.0,27/07/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
Tissue Roll,2.0,30.0,27/07/2020,HYGIENE,,,
Baby Diapers (per piece),4.0,40.0,27/07/2020,BABY PRODUCTS,,,
Revicon Forte,5.0,35.0,27/07/2020,PAIN RELIEVERS,,,
Bioflu 10mg/2mg/500mg,2.0,20.0,27/07/2020,PAIN RELIEVERS,,,
Lice Comb (Suyod),1.0,10.0,27/07/2020,ALL MEDICAL SUPPLIES,,,
Baby Wipes,2.0,50.0,27/07/2020,BABY PRODUCTS,,,
Toothbrush,1.0,10.0,28/07/2020,HYGIENE,,,
Katinko Ointment,1.0,35.0,28/07/2020,GALENICALS,,,
Efficascent Oil 25 mL,2.0,78.0,28/07/2020,GALENICALS,,,
Hivent Salbutamol Ampoule 2.5mL,4.0,60.0,28/07/2020,RESPIRATORY,,,
Baby Wipes,1.0,25.0,28/07/2020,BABY PRODUCTS,,,
Baby Diapers (per piece),5.0,50.0,28/07/2020,BABY PRODUCTS,,,
Bioflu 10mg/2mg/500mg,4.0,40.0,29/07/2020,PAIN RELIEVERS,,,
Alaxan FR 400mg,2.0,20.0,29/07/2020,PAIN RELIEVERS,,,
Isoxsuprine 10mg,20.0,300.0,29/07/2020,OB PRODUCTS,,,
Mefenamic Acid (generic),10.0,30.0,29/07/2020,PAIN RELIEVERS,,,
Cefalexin 500mg,6.0,48.0,29/07/2020,ANTIBIOTICS,,,
Ascorbic Acid Syrup,1.0,85.0,29/07/2020,ADULT VITAMINS AND SUPPLEMENTS,,,
